key	ANDREA_MYSTERY_GENOME_SORTED	EMILY_MYSTERY_GENOME_SORTED	EVAN_MYSTERY_GENOME_SORTED	ISAAC_MYSTERY_GENOME_SORTED	KAREN_MYSTERY_GENOME_SORTED
4192	19.572715572715573	21.123552123552123	16.819176319176318	36.98712998712999	42.87001287001287
4193	20.770992366412212	24.970737913486005	19.428753180661577	32.44020356234097	43.37531806615776
4194	22.4585448392555	22.683587140439933	18.416243654822335	35.06937394247039	41.424703891708965
4195	21.21969696969697	18.762626262626263	20.093434343434343	39.66919191919192	37.67424242424242
4196	23.333333333333332	23.50228310502283	22.899543378995435	32.082191780821915	33.210045662100455
4197	18.44103041589075	23.303538175046555	19.216635630043452	36.11328367473619	41.331160769708255
4198	19.373368146214098	23.144473455178417	20.840731070496084	35.146214099216714	38.15143603133159
4199	21.833333333333332	22.92457420924574	15.80778588807786	33.09124087591241	36.496350364963504
4200	18.240437158469945	21.762841530054644	18.242622950819673	34.980327868852456	33.939890710382514
4201	21.50473186119874	22.2397476340694	20.153522607781284	35.11671924290221	39.58149316508938
4202	18.08	25.282222222222224	14.746666666666666	38.004444444444445	37.75333333333333
4203	20.151515151515152	26.006060606060608	18.214141414141412	36.58585858585859	34.00606060606061
4204	21.255236066737663	22.920837770678027	17.313454029108982	33.43592474263401	37.971955981540646
4205	20.95116772823779	22.134819532908704	17.915074309978767	34.86411889596603	37.82696390658174
4206	21.74621212121212	27.231060606060606	16.428030303030305	32.291666666666664	41.32954545454545
4207	17.511737089201876	22.183098591549296	21.887323943661972	45.98122065727699	31.793427230046948
4208	18.723294723294725	25.41956241956242	18.814671814671815	34.5045045045045	39.47490347490348
4209	16.18717948717949	21.505982905982908	18.59059829059829	31.765811965811967	34.287179487179486
352	17.96794871794872	22.30128205128205	19.262820512820515	30.865384615384617	46.12820512820513
353	17.44040404040404	24.268686868686867	19.52929292929293	32.42020202020202	38.73131313131313
354	21.948261238337576	24.742154368108565	17.51314673452078	32.061916878710775	38.33248515691264
355	16.983640081799592	28.390593047034766	22.777096114519427	34.56646216768916	46.22903885480573
356	16.965317919075144	22.216763005780347	17.131021194605008	34.179190751445084	40.53564547206166
357	21.68103448275862	21.95977011494253	17.551724137931036	34.94109195402299	42.01867816091954
358	18.162650602409638	21.77710843373494	19.086345381526105	36.09939759036145	37.32630522088353
359	16.27462121212121	22.44128787878788	18.973484848484848	29.075757575757574	39.922348484848484
360	21.433258762117823	24.618195376584637	18.638329604772558	37.86502609992543	40.541387024608504
361	17.85016835016835	25.845117845117844	17.00841750841751	27.67845117845118	42.36363636363637
362	20.10326086956522	24.541666666666668	20.016304347826086	33.8731884057971	44.47282608695652
363	20.91769547325103	22.240512117055328	18.682213077274806	36.491083676268865	39.958847736625515
364	19.081560283687942	21.116008105369808	18.05673758865248	36.508105369807495	40.13120567375886
365	17.734567901234566	20.372685185185187	17.906635802469136	38.15046296296296	40.46527777777778
366	20.570432357043234	24.70641562064156	18.74407252440725	35.79637377963738	41.53905160390516
367	20.642156862745097	23.294934640522875	18.024918300653596	31.264705882352942	39.76919934640523
3648	21.468599033816425	21.463768115942027	13.968599033816425	30.205314009661837	37.19565217391305
3649	17.056224899598394	22.360107095046853	17.759036144578314	28.75234270414993	37.813922356091034
3650	17.74941724941725	24.506993006993007	17.234265734265733	34.086247086247084	37.078088578088575
3651	18.7008069522036	25.186219739292365	19.725015518311608	36.1651148355059	36.71508379888268
3652	20.796768707482993	24.066326530612244	18.63860544217687	37.14115646258504	43.15561224489796
3653	20.132706374085686	19.75653082549634	17.533960292580982	39.83699059561128	37.88401253918495
3654	19.681854516386892	20.666666666666668	17.784172661870503	34.43565147881694	37.40367705835332
3655	21.37313432835821	20.072636815920397	16.280597014925373	29.866666666666667	40.64378109452736
3656	19.463242698892245	26.7079556898288	17.448136958710975	33.081570996978854	33.89627391742195
3657	19.061274509803923	22.386029411764707	19.955882352941178	33.200980392156865	45.674019607843135
3658	19.0652557319224	23.68694885361552	19.026455026455025	37.50617283950617	40.383597883597886
3642	18.73054873054873	21.36036036036036	19.455364455364457	35.07043407043407	35.5036855036855
3643	21.012698412698413	21.34285714285714	17.18095238095238	36.51904761904762	38.74126984126984
3644	20.97071490094746	21.0198105081826	16.80275624461671	34.905254091300606	39.02325581395349
3645	20.640036730945823	21.757575757575758	16.520661157024794	37.21854912764004	38.0872359963269
3646	23.47979797979798	24.02020202020202	19.92929292929293	33.93434343434343	40.83838383838384
3647	18.296296296296298	21.88888888888889	19.384615384615383	34.67283950617284	43.799620132953464
1067	19.725490196078432	22.615468409586057	16.067538126361654	37.330065359477125	35.0958605664488
1068	19.244949494949495	21.43686868686869	17.944444444444443	29.71212121212121	37.94444444444444
1069	16.23524069028156	24.44868301544051	14.074477747502272	39.66848319709355	37.927338782924615
1070	17.612021857923498	24.020491803278688	22.28551912568306	34.85245901639344	36.521857923497265
1071	24.29787234042553	25.997635933806148	18.825059101654848	35.0661938534279	41.55555555555556
1072	20.55320648343904	25.100775193798448	19.756166314305847	34.871740662438334	36.45665961945032
1073	19.30912162162162	23.997184684684683	19.70382882882883	36.83108108108108	40.29335585585586
1074	21.30675778283979	22.009111617312072	19.962794229309036	32.92786636294609	37.92938496583144
1075	20.692901234567902	23.209876543209877	18.94753086419753	26.66358024691358	41.464506172839506
1076	17.203655352480418	24.867711053089643	17.337684943429068	35.00435161009573	38.74934725848564
1077	22.620567375886523	22.94208037825059	18.61229314420804	31.38179669030733	41.09929078014184
1078	21.017543859649123	26.974415204678362	19.334795321637426	34.078216374269005	37.0109649122807
1079	19.302325581395348	25.189922480620154	20.079844961240312	30.469767441860466	39.716279069767445
1080	21.64981684981685	21.986813186813187	18.596336996336998	32.68791208791209	38.86153846153846
1081	19.652532391048293	21.176678445229683	19.45700824499411	33.75971731448763	41.18963486454653
1082	22.075091575091577	27.913919413919412	17.053113553113555	34.44139194139194	37.357142857142854
1083	16.348484848484848	25.736363636363638	17.866666666666667	36.56363636363636	44.71515151515152
1084	25.302180685358255	20.713395638629283	21.07165109034268	35.25545171339564	40.51090342679128
1085	23.57107843137255	22.272058823529413	17.66176470588235	33.911764705882355	35.254901960784316
1086	18.48	23.56222222222222	16.148888888888887	34.94888888888889	40.035555555555554
1164	18.860233918128657	21.81637426900585	19.360818713450293	36.212865497076024	42.78362573099415
1165	16.935543278084715	18.534069981583794	15.298342541436464	32.29281767955801	40.38305709023941
1166	18.901041666666668	23.36328125	14.752604166666666	35.850260416666664	41.649739583333336
1167	19.440389294403893	25.097323600973237	18.598540145985403	36.851581508515814	43.70316301703163
1168	20.18895966029724	25.34607218683652	16.276008492569	36.038216560509554	41.961783439490446
1169	21.507751937984494	25.56330749354005	17.988372093023255	35.32299741602067	38.93927648578811
1170	22.035714285714285	22.47142857142857	12.978571428571428	35.173809523809524	35.73809523809524
1171	19.138634046890928	5.062181447502549	4.5759429153924565	34.479102956167175	35.106014271151885
1172	18.872982456140353	25.66315789473684	16.55578947368421	31.493333333333332	38.351578947368424
1173	17.760631001371742	20.430041152263374	20.980109739369	35.84705075445816	40.16529492455418
1174	19.55128205128205	26.77810650887574	18.715976331360945	31.642011834319526	42.8629191321499
1175	19.386363636363637	26.09659090909091	16.306818181818183	31.931818181818183	36.01136363636363
1176	18.807367953839325	23.279183311140702	16.94185530403906	39.090102086107414	39.32623169107856
1177	19.788359788359788	22.826278659611994	16.778659611992946	35.77601410934744	40.61287477954145
1178	19.760416666666668	24.93402777777778	16.624305555555555	31.574305555555554	36.57083333333333
